Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,133.12 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,129.28 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,65.28 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,"3,291.52 ",0.00 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,222.72 ,Main - B,Customer,Guest
,,,,1010501,Stock on Hand,1010501 - Stock on Hand - B,0.00 ,65.28 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,8.45 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,2.56 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,29.76 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,3.94 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,16.58 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,11.14 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,5.89 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,10.62 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,9.41 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,8.83 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,6.78 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,10.24 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,5.09 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,7.04 ,Main - B,Customer,Guest
