Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,10000,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,2000,0,Main - B,Customer,Guest
,,,,5020201,Commission Exp,5020201 - Commission Exp - B,0,2000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-04-01,2010103,Branderaa,2010103 - Branderaa - B,3700,0,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,3700,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,0,67830,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,67830,0,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,640.55,0,Main - B,Customer,Guest
,,,,5030401,Communication,5030401 - Communication - B,0,640.55,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,5500,0,Main - B,Customer,Guest
,,,2019-04-01,1010102,Petty Cash,1010102 - Petty Cash - B,0,5500,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-04-02,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,29415.75,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,1400.75,0,Main - B,Customer,Guest
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,28015,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,61600,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,61600,0,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,52762.5,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,2512.5,0,Main - B,Customer,Guest
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,50250,0,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,38403.75,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,1828.75,0,Main - B,Customer,Guest
